timestamp,temp_c,humidity_p,pressure_hpa,light_lux,soil_moisture_p,bio_signal_mv,prediction,confidence
80000,24.68,57.28,1006.28,13,100,-23.332,❓ UNCERTAIN (54.3%),54.25079
85000,24.66,57.35,1006.27,13,100,-22.917,❓ UNCERTAIN (54.3%),54.25056
90000,24.65,57.33,1006.27,13,100,-24.752,❓ UNCERTAIN (54.3%),54.250793
95000,24.65,57.38,1006.25,12,100,-24.752,❓ UNCERTAIN (54.3%),54.250122
100000,24.66,57.43,1006.27,12,100,-24.752,❓ UNCERTAIN (54.3%),54.250656
105000,24.66,57.45,1006.32,12,100,-23.213,❓ UNCERTAIN (54.3%),54.25036
110000,24.64,57.5,1006.28,12,100,-23.205,❓ UNCERTAIN (54.3%),54.250725
115000,24.65,57.74,1006.28,12,100,-23.604,❓ UNCERTAIN (54.3%),54.25056
120000,24.63,57.65,1006.29,12,100,-24.346,❓ UNCERTAIN (54.3%),54.250877
125000,24.64,57.65,1006.3,12,100,-24.752,❓ UNCERTAIN (54.3%),54.250847
80000,24.73,59.7,1006.24,12,100,-24.752,❓ UNCERTAIN (54.2%),54.248627
85000,24.74,59.81,1006.17,11,100,-24.752,❓ UNCERTAIN (54.2%),54.24865
90000,24.74,59.72,1006.13,11,100,-24.752,❓ UNCERTAIN (54.2%),54.248577
95000,24.74,59.65,1006.18,11,100,-24.752,❓ UNCERTAIN (54.2%),54.248524
100000,24.75,59.56,1006.21,12,100,-24.752,❓ UNCERTAIN (54.2%),54.248493
105000,24.75,59.74,1006.25,12,100,-24.752,❓ UNCERTAIN (54.2%),54.248398
